Unnamed: 0,individualID,domainID,siteID,plotID,subplotID,pointID,stemDistance,stemAzimuth,scientificName,taxonRank,adjNorthing,adjEasting,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,adjElevation,adjElevationUncertainty,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,biomass,sampling_area,geometry,area,individualStemNumberDensity,individualBasalArea
2694,NEON.PLA.D17.SOAP.04963,D17,SOAP,SOAP_009,32.0,33.0,1.1,266.8,Quercus chrysolepis Liebm.,species,4101452.15930634,299304.259535159,0.7,37.0378472121175,-119.256572323778,1100.1,1.1,multi-bole tree,Live,22.4,130.0,7.5,,,,7.2,5.7,Partially shaded,,,,,,,,,,,,214.73781107479184,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,394.0813824663036
2695,NEON.PLA.D17.SOAP.04963,D17,SOAP,SOAP_009,32.0,33.0,1.1,266.8,Quercus chrysolepis Liebm.,species,4101452.15930634,299304.259535159,0.7,37.0378472121175,-119.256572323778,1100.1,1.1,multi-bole tree,Live,17.8,150.0,7.5,,,,7.2,5.7,Partially shaded,,,,,,,,,,,,122.526022287792,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,248.84555409084754
2696,NEON.PLA.D17.SOAP.04964,D17,SOAP,SOAP_009,32.0,33.0,6.4,355.6,Quercus chrysolepis Liebm.,species,4101458.60184761,299304.86681822,0.7,37.0379053722556,-119.256567218597,1100.1,1.1,single bole tree,Live,18.7,130.0,5.9,,,,5.7,4.9,Partially shaded,,,,,,,,,,,,138.20331827849992,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,274.6458837584537
2698,NEON.PLA.D17.SOAP.04966,D17,SOAP,SOAP_009,32.0,,,,Quercus chrysolepis Liebm.,species,,,,,,,,small tree,Live,4.3,130.0,2.9,,,,2.6,2.0,,,,,,,,,,,,,3.821638549880894,200.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.005,14.522012041218817
2699,NEON.PLA.D17.SOAP.04967,D17,SOAP,SOAP_009,41.0,51.0,5.4,184.2,Quercus chrysolepis Liebm.,species,4101467.03164182,299305.352703736,0.7,37.0379814063467,-119.256564007386,1094.49,1.1,multi-bole tree,Live,21.9,130.0,6.3,,,,5.9,3.8,Partially shaded,,,,,,,,,,,,203.22502862444153,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,376.68481314705014
2700,NEON.PLA.D17.SOAP.04967,D17,SOAP,SOAP_009,41.0,51.0,5.4,184.2,Quercus chrysolepis Liebm.,species,4101467.03164182,299305.352703736,0.7,37.0379814063467,-119.256564007386,1094.49,1.1,multi-bole tree,Live,10.1,130.0,6.3,,,,5.9,3.8,Partially shaded,,,,,,,,,,,,30.725685610183117,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,80.1184666481737
2701,NEON.PLA.D17.SOAP.04968,D17,SOAP,SOAP_009,41.0,41.0,6.0,19.4,Quercus chrysolepis Liebm.,species,4101467.78039595,299297.172656791,0.7,37.0379864017718,-119.256656116683,1095.88,1.1,single bole tree,Live,12.0,130.0,4.0,,,,3.2,2.3,Partially shaded,,,,,,,,,,,,46.79877990288137,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,113.09733552923255
2702,NEON.PLA.D17.SOAP.04969,D17,SOAP,SOAP_009,41.0,41.0,8.4,5.8,Quercus chrysolepis Liebm.,species,4101470.47805795,299296.028562896,0.7,37.0380104559792,-119.256669690991,1095.88,1.1,multi-bole tree,Live,13.1,130.0,3.3,,,,5.0,4.2,Mostly shaded,,,,,,,,,,,,57.97120686587142,400.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.0025,134.7821788206361
2703,NEON.PLA.D17.SOAP.04969,D17,SOAP,SOAP_009,41.0,41.0,8.4,5.8,Quercus chrysolepis Liebm.,species,4101470.47805795,299296.028562896,0.7,37.0380104559792,-119.256669690991,1095.88,1.1,multi-bole tree,Live,4.8,130.0,3.3,,,,5.0,4.2,Mostly shaded,,,,,,,,,,,,4.998767867807896,200.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.005,18.09557368467721
2704,NEON.PLA.D17.SOAP.04969,D17,SOAP,SOAP_009,41.0,41.0,8.4,5.8,Quercus chrysolepis Liebm.,species,4101470.47805795,299296.028562896,0.7,37.0380104559792,-119.256669690991,1095.88,1.1,multi-bole tree,Live,8.4,130.0,3.3,,,,5.0,4.2,Mostly shaded,,,,,,,,,,,,19.593807922049127,200.0,"POLYGON ((299285.1880000003 4101452.1229999997, 299285.1880000003 4101472.1230000006, 299305.1879999995 4101472.1230000006, 299305.1879999995 4101452.1229999997, 299285.1880000003 4101452.1229999997))",400.0000000023283,0.005,55.41769440932395
