,individualID,domainID,siteID,plotID,subplotID,pointID,stemDistance,stemAzimuth,scientificName,taxonRank,adjNorthing,adjEasting,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,adjElevation,adjElevationUncertainty,growthForm,plantStatus,stemDiameter,measurementHeight,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter
1691,NEON.PLA.D17.SOAP.03619,D17,SOAP,SOAP_009,31.0,,,,Cercocarpus montanus Raf. var. glaber (S. Watson) F.L. Martin,variety,,,,,,,,single shrub,Standing dead,2.7,130.0,1.5,,,,1.7,1.1,,inverted cone,4.9,10.0,0.2,0.1,,,,,,
2110,NEON.PLA.D17.SOAP.04010,D17,SOAP,SOAP_021,32.0,33.0,6.4,357.4,Pinus ponderosa Lawson & C. Lawson,species,4101309.77559165,297566.143886876,0.7,37.0361915243713,-119.276062981575,1343.25,1.11,single bole tree,Live,26.7,130.0,18.0,,,,3.4,3.2,Mostly shaded,,,,,,,,,,,
2111,NEON.PLA.D17.SOAP.04101,D17,SOAP,SOAP_021,31.0,41.0,8.7,261.1,Pinus ponderosa Lawson & C. Lawson,species,4101312.59807964,297547.945329168,0.7,37.0362130228588,-119.27626820912,1340.27,1.1,single bole tree,Live,30.3,130.0,19.9,,,,5.0,3.2,Partially shaded,,,,,,,,,,,
2112,NEON.PLA.D17.SOAP.04102,D17,SOAP,SOAP_021,40.0,41.0,6.4,272.1,Calocedrus decurrens (Torr.) Florin,species,4101314.17857974,297550.14487828,0.7,37.0362277331371,-119.276243921417,1340.27,1.1,single bole tree,"Live,  other damage",11.2,130.0,3.9,,,,2.3,2.2,Partially shaded,,,,,,,,,,,
2113,NEON.PLA.D17.SOAP.04103,D17,SOAP,SOAP_021,40.0,49.0,8.6,98.2,Quercus chrysolepis Liebm.,species,4101323.26444117,297555.781715586,0.7,37.0363107872522,-119.276183033176,1337.31,1.1,single bole tree,Live,37.9,130.0,11.8,,,,10.4,7.5,Partially shaded,,,,,,,,,,,
2114,NEON.PLA.D17.SOAP.04104,D17,SOAP,SOAP_021,41.0,,,,Calocedrus decurrens (Torr.) Florin,species,,,,,,,,small tree,Standing dead,6.0,130.0,2.2,,,,2.1,1.4,,,,,,,,,,,,
2115,NEON.PLA.D17.SOAP.04105,D17,SOAP,SOAP_021,41.0,51.0,4.3,183.3,Calocedrus decurrens (Torr.) Florin,species,4101319.05327019,297567.020634684,0.7,37.0362752797345,-119.276055626386,1335.17,1.1,single bole tree,Live,56.2,130.0,18.5,,,,8.0,5.7,Partially shaded,,,,,,,,,,,
2116,NEON.PLA.D17.SOAP.04121,D17,SOAP,SOAP_021,32.0,41.0,5.0,98.2,Pinus ponderosa Lawson & C. Lawson,species,4101313.23091533,297561.489461155,0.7,37.0362216436629,-119.276116205382,1340.27,1.1,single bole tree,Live,78.2,130.0,35.8,,,,10.1,7.9,Partially shaded,,,,,,,,,,,
2117,NEON.PLA.D17.SOAP.04125,D17,SOAP,SOAP_021,32.0,33.0,6.0,340.0,Calocedrus decurrens (Torr.) Florin,species,4101309.02033573,297564.38208914,0.7,37.0361843416979,-119.276082572957,1343.25,1.11,single bole tree,Live,55.8,130.0,24.3,,,,6.2,5.7,Partially shaded,,,,,,,,,,,
2118,NEON.PLA.D17.SOAP.04126,D17,SOAP,SOAP_021,32.0,33.0,6.2,322.8,Calocedrus decurrens (Torr.) Florin,species,4101308.32066549,297562.685695488,0.7,37.0361776737985,-119.276101444444,1343.25,1.11,single bole tree,Standing dead,64.0,130.0,26.2,,,,5.3,3.0,Mostly shaded,,,,,,,,,,,
2119,NEON.PLA.D17.SOAP.04156,D17,SOAP,SOAP_021,32.0,33.0,0.8,324.8,Calocedrus decurrens (Torr.) Florin,species,4101304.03589592,297565.973064147,0.7,37.0361397886993,-119.276063357019,1343.25,1.11,single bole tree,Live,24.3,130.0,11.9,,,,4.1,3.9,Mostly shaded,,,,,,,,,,,
2120,NEON.PLA.D17.SOAP.04157,D17,SOAP,SOAP_021,32.0,33.0,2.3,265.4,Pinus ponderosa Lawson & C. Lawson,species,4101303.19772247,297564.14161858,0.7,37.0361318441496,-119.276083708607,1343.25,1.11,single bole tree,Live,80.1,130.0,39.0,,,,8.4,7.4,Partially shaded,,,,,,,,,,,
2121,NEON.PLA.D17.SOAP.04199,D17,SOAP,SOAP_021,31.0,21.0,7.2,49.5,Pinus ponderosa Lawson & C. Lawson,species,4101298.56988595,297541.598482952,0.72,37.0360852988044,-119.276335744922,1348.34,1.11,single bole tree,Live,17.2,130.0,8.6,,,,2.9,2.8,Partially shaded,,,,,,,,,,,
2122,NEON.PLA.D17.SOAP.04200,D17,SOAP,SOAP_002,31.0,31.0,1.4,8.0,Calocedrus decurrens (Torr.) Florin,species,4100704.1274753,297034.474322341,0.71,37.0306215295261,-119.281873184784,1292.72,1.12,single bole tree,"Live, broken bole",38.3,130.0,12.0,,10.0,,5.9,3.9,Partially shaded,,,,,,,,,,,
2123,NEON.PLA.D17.SOAP.04201,D17,SOAP,SOAP_002,31.0,31.0,6.3,58.8,Calocedrus decurrens (Torr.) Florin,species,4100706.00467016,297039.668274839,0.71,37.0306395605012,-119.281815339162,1292.72,1.12,single bole tree,Standing dead,13.0,130.0,6.5,,,,2.5,1.5,Mostly shaded,,,,,,,,,,,
2124,NEON.PLA.D17.SOAP.04202,D17,SOAP,SOAP_002,31.0,,,,Quercus kelloggii Newberry,species,,,,,,,,small tree,Live,1.7,130.0,2.4,,,,1.3,1.1,,,,,,,,,,,,
