"individualID","domainID","siteID","plotID","namedLocation","uid.x","date.x","eventID.x","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","recordType","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.x","measuredBy.x","recordedBy.x","dataQF.x","publicationDate.x","release.x","utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","adjElevation","adjElevationUncertainty","uid.y","date.y","eventID.y","tempStemID","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","changedMeasurementLocation","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","dendrometerInstallationDate","initialGapMeasurementDate","initialBandStemDiameter","initialDendrometerGap","dendrometerHeight","dendrometerGap","dendrometerCondition","bandStemDiameter","remarks.y","recordedBy.y","measuredBy.y","dataQF.y","publicationDate.y","release.y","dataEntryRecordID"
"NEON.PLA.D17.SOAP.00002","D17","SOAP","SOAP_045","SOAP_045.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"064feb3b-805d-401c-a268-50c9cc159882",2015-11-19,"vst_SOAP_2015",NA,NA,NA,"Live",10.3,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"krian@neoninc.org","jbolis@neoninc.org","legacyData | noMapTagData","20220104T180435Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00005","D17","SOAP","SOAP_049","SOAP_049.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3a70a658-1889-4aaa-9699-cfa578285ba2",2015-11-10,"vst_SOAP_2015",NA,NA,NA,"Live",25.1,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"krian@neoninc.org","tedgarian@neoninc.org","legacyData | noMapTagData","20220104T180435Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00008","D17","SOAP","SOAP_045","SOAP_045.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"d1f8d4f8-1646-45dd-a16f-a84b4b25292c",2015-11-19,"vst_SOAP_2015",NA,NA,NA,"Live",10.5,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"krian@neoninc.org","jbolis@neoninc.org","legacyData | noMapTagData","20220104T180435Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00036","D17","SOAP","SOAP_050","SOAP_050.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"edbf5ae0-8bb3-4349-a391-daaa39d1348f",2015-10-07,"vst_SOAP_2015",NA,NA,NA,"Live",22.2,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData | noMapTagData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00046","D17","SOAP","SOAP_050","SOAP_050.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"937fb518-4848-4db4-b09c-1465031e5b9c",2015-10-08,"vst_SOAP_2015",NA,NA,NA,"Live",22.9,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emccarthy@field-ops.org","tedgarian@neoninc.org","legacyData | noMapTagData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00070","D17","SOAP","SOAP_055","SOAP_055.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"153fd4f0-7fee-458f-a7a4-15faf7531b34",2015-10-27,"vst_SOAP_2015",NA,NA,NA,"Live",12,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","krian@neoninc.org","legacyData | noMapTagData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00135","D17","SOAP","SOAP_050","SOAP_050.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c57782cc-1be1-4525-a2db-2f1d9fa6b583",2015-10-08,"vst_SOAP_2015",NA,NA,NA,"Live",11.2,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"emccarthy@field-ops.org","tedgarian@neoninc.org","legacyData | noMapTagData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00138","D17","SOAP","SOAP_050","SOAP_050.basePlot.vst",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9a86e4e6-584c-4e4b-877d-9fda2479f77a",2015-10-07,"vst_SOAP_2015",NA,NA,NA,"Live",16.3,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"tedgarian@neoninc.org","kzias@field-ops.org","legacyData | noMapTagData","20220104T182611Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00161","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","a35976d1-5961-4cb8-8d8a-7387308928ae",2015-08-12,"vst_SOAP_2015","39","1","39",3.2,15.5,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,NA,"kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101017.21134745,297805.758012803,0.71,37.0336079590873,-119.273292220565,"1306.96",1.11,"2a946c0d-17bd-4076-9891-94f63797d52a",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Standing dead",28.6,130,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
"NEON.PLA.D17.SOAP.00162","D17","SOAP","SOAP_059","SOAP_059.basePlot.vst","03d5a0bb-80a5-4c64-bf3c-76c09a08a753",2015-08-12,"vst_SOAP_2015","39","1","39",4.4,12.8,NA,NA,NA,"NEON.DOC.000987vE","PIPO","Pinus ponderosa Lawson & C. Lawson","species",NA,NA,NA,NA,"proofed and no errors","kzias@field-ops.org","lwade@field-ops.org",NA,"20221130T000443Z","PROVISIONAL","11N",4101018.41838716,297805.87766339,0.71,37.033618856981,-119.27329120052,"1306.96",1.11,"e5cc4ec8-c2ff-4df5-b442-8714dc2c48c7",2015-08-12,"vst_SOAP_2015",NA,NA,"single bole tree","Standing dead",47.5,130,NA,NA,NA,NA,NA,NA,NA,"Mostly shaded",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lwade@field-ops.org","kzias@field-ops.org","legacyData","20220104T174323Z","RELEASE-2022",NA
